poi_id,lon,lat,x,y,edge_id
60848447,13.4696536,52.5318353,1957.7799656337593,6893.458899091929,1229876383#4
60848447,13.4696536,52.5318353,1957.7799656337593,6893.458899091929,1229876383#4
60852928,13.4685134,52.5275552,1870.3413890458178,6419.055583812296,305534035
60852928,13.4685134,52.5275552,1870.3413890458178,6419.055583812296,305534035
253256553,13.4550894,52.5515059,1016.7626482849009,9102.320960505866,
281563606,13.4626939,52.5498822,1528.4798002850148,8910.71640664339,
417019740,13.4588499,52.5498309,1267.7352723485092,8910.570407987572,
452946886,13.4743188,52.5359237,2283.8230055061285,7341.482526201755,4687244#3
452946886,13.4743188,52.5359237,2283.8230055061285,7341.482526201755,4687244#3
452946886,13.4743188,52.5359237,2283.8230055061285,7341.482526201755,4687244#3
453013649,13.4679731,52.5280106,1834.7656257263734,6470.484157940373,1220971446#3
453013649,13.4679731,52.5280106,1834.7656257263734,6470.484157940373,1220971446#3
453042696,13.4713873,52.5298871,2070.783609770937,6674.282881446183,1135049478#17
463385753,13.4704754,52.5292859,2007.5116720430087,6608.72630139254,1135049478#18
463444162,13.464128,52.5288152,1575.8428925031913,6565.517166718841,1220971446#0
554199918,13.4860231,52.5445475,3097.749601574731,8283.93033329025,
588552725,13.4553976,52.5494413,1032.7420358261443,8872.243060773239,
588552725,13.4553976,52.5494413,1032.7420358261443,8872.243060773239,
588552733,13.4562626,52.5492679,1090.9768445759546,8851.701925490052,
588552733,13.4562626,52.5492679,1090.9768445759546,8851.701925490052,
588552735,13.4555878,52.5494813,1045.7329156449996,8876.41593237035,
626304105,13.455,52.5292797,957.7753249316011,6630.395131180994,383960623#1
678352160,13.4590899,52.5490702,1282.2004086514935,8825.615689578466,
737197006,13.4783092,52.5268357,2533.14629297785,6324.976247919723,921710436#1
737199963,13.478518,52.5268005,2547.227823749301,6320.762611930259,921710436#1
737199963,13.478518,52.5268005,2547.227823749301,6320.762611930259,921710436#1
769963652,13.4659303,52.5285154,1697.3884429360041,6529.572610871866,1220971446#1
769972044,13.4682098,52.5284237,1851.7969705028227,6516.089406909421,1125530940#5
803582040,13.45622,52.5496181,1088.921890570724,8890.71393503528,
1064641129,13.4856591,52.5364799,3054.237677282188,7387.145507654175,
1066041285,13.4662865,52.5371681,1742.0021327937138,7491.435020277277,11093780#0
1231246020,13.4673589,52.5530058,1852.1459805049817,9251.403906988911,
1270322765,13.4723669,52.5274097,2131.398577380751,6397.333084498532,921710425#1
1306437820,13.4847063,52.5369253,2990.6582533097244,7438.040581897832,
1450379591,13.4618751,52.5505611,1474.5749172804644,8987.408705079928,
1450379594,13.4611168,52.5504013,1422.7840041057789,8970.731529770419,
1690439220,13.4700307,52.529183,1977.1043093502522,6597.9208434820175,1135049478#18
1719664188,13.4714754,52.5286228,2073.7814431631123,6533.537558425218,-271412612#1
1719664188,13.4714754,52.5286228,2073.7814431631123,6533.537558425218,-271412612#1
1719664195,13.4713087,52.5289016,2063.1305088824593,6564.785910587758,-271412612#0
1803632679,13.4582409,52.5504924,1228.0172237195075,8985.02639222797,
1918505325,13.4590575,52.5502721,1282.8585229811724,8959.341300219297,
2217045755,13.4547727,52.5489568,989.2194832713576,8819.262802731246,
2248592549,13.4573709,52.5285151,1116.7795980232186,6541.914453532547,962660403#2
2451527849,13.45803,52.55003,1212.6193576112855,8933.902519874275,
2455251812,13.4575769,52.5499155,1181.627121774014,8921.824109683745,
2511149696,13.4809667,52.5383876,2740.4619606994675,7606.013646909967,
2516120286,13.4597629,52.5504319,1331.0635137815261,8976.093561472371,
2516120286,13.4597629,52.5504319,1331.0635137815261,8976.093561472371,
2611034642,13.4715787,52.5284516,2080.3853331515566,6514.347855469212,-1135049473
2763457969,13.4705843,52.5293019,2014.936253362801,6610.349325330928,1135049478#18
2780316217,13.4725534,52.5293192,2148.544329043536,6609.444926790893,1135049478#5
3039049776,13.4594412,52.5484392,1304.520513895317,8754.925501814112,
3350344758,13.4808842,52.5272992,2708.9078372207587,6372.848415536806,-48163805#4
3666796894,13.471021,52.5294382,2044.879494287481,6624.881347629242,1135049478#17
3779533432,13.4648392,52.5500408,1674.306200838706,8925.259562725201,
3849567057,13.4698142,52.531996,1969.052057173627,6911.1014097593725,1214959073
3949934781,13.4644959,52.528746,1600.6346763935871,6557.289579344913,1220971446#1
3969486836,13.4616455,52.5300394,1410.3512288477505,6705.262052517384,1095296644#0
4081730093,13.478698,52.527159,2560.2786591806216,6360.3785626338795,1094675296#1
4286224135,13.4802248,52.5381251,2689.5331232664175,7577.876966706477,
4601595906,13.4708664,52.5422259,2064.5288555423613,8047.3863965999335,
4682866291,13.4566633,52.5290131,1069.9655316330027,6598.32934767101,1229835539
4682866291,13.4566633,52.5290131,1069.9655316330027,6598.32934767101,1229835539
4746854421,13.4707502,52.5321759,2032.9625810314901,6929.764733622782,978759714#0
4846723150,13.4766342,52.5305765,2428.3034254561644,6743.434895254672,1094675278
4862561441,13.4569432,52.533538,1099.7117644094396,7101.193903649226,43266656#3
4867004185,13.4570501,52.5335768,1107.0545212622383,7105.354319894686,43266656#3
5024078544,13.4717971,52.5287807,2095.975082691235,6550.637514923699,114935948#0
5089978455,13.4588849,52.5494487,1269.2003296590992,8868.010365951806,
5255259068,13.4561482,52.5289253,1034.8163835647283,6589.311289852485,1229835539
5266816861,13.4674421,52.5531267,1858.0721561398823,9264.730952203274,
5266816861,13.4674421,52.5531267,1858.0721561398823,9264.730952203274,
5774061796,13.4640388,52.5279223,1567.6788099165424,6466.335353181697,1133102283#1
5903202921,13.4591399,52.5503338,1288.5917299535358,8966.084440858103,
5903202921,13.4591399,52.5503338,1288.5917299535358,8966.084440858103,
5913441996,13.4559643,52.5331751,1032.454314718023,7062.251277239062,-444929799#1
5939312537,13.4758049,52.5365649,2386.118742016726,7410.668862680905,
5966966473,13.468831,52.5351527,1909.8129617667291,7263.612360481173,1081406149#0
5991258686,13.4746475,52.5355802,2305.308424726245,7302.80626467336,4687244#3
6000099423,13.4847981,52.5398635,3003.745568394952,7764.705161133781,
6141319186,13.4619077,52.5300852,1428.2449337919243,6709.976990110241,1201860729#2
6237544658,13.4575012,52.5285274,1125.6474456642754,6543.093584839255,962660403#2
6256648224,13.474581,52.5498861,2334.4334463869454,8894.045268156566,
6256674063,13.4744744,52.5498058,2327.017142002238,8885.266861005686,
6339288026,13.4715069,52.5295367,2078.0708152385196,6635.138657782227,1135049478#17
6346569898,13.4574432,52.5285246,1121.7064900089754,6542.866246487945,962660403#2
6347320701,13.4787739,52.5270136,2565.0864948101807,6344.098266167566,1094675296#2
6347320701,13.4787739,52.5270136,2565.0864948101807,6344.098266167566,1094675296#2
6710135969,13.4662422,52.5520135,1774.093096017954,9142.646118321456,
6712158503,13.4577752,52.5495814,1194.2775703236694,8884.37718753051,
7820342821,13.481156,52.5412199,2759.9300227899803,7920.760156790726,
8245782776,13.4560716,52.5495884,1078.7896537226625,8887.625901460648,
8459440164,13.46888,52.5319562,1905.5936901152018,6908.018615221605,1095295161#3
8461582189,13.4780992,52.5270965,2519.512463586696,6354.283475419506,1331648323#1
8491450219,13.4768042,52.533436,2446.546795227099,7061.232948249206,1136169600#0
8491450219,13.4768042,52.533436,2446.546795227099,7061.232948249206,1136169600#0
8528758493,13.4788443,52.5376289,2594.7468827351695,7524.660722106695,
8579073017,13.4767547,52.5531601,2489.497830485343,9255.076166113839,
9073606224,13.4578066,52.5499705,1197.331479684799,8927.608474402688,
9073606225,13.4576039,52.5499215,1183.4719811532414,8922.452314548194,
9073823860,13.4662136,52.5518023,1771.654765237181,9119.197049611248,
9073871707,13.4566394,52.5497228,1117.6063912065001,8901.750651660375,
9073875617,13.4673241,52.5529588,1849.6756662635016,9246.226543138735,
9279640084,13.4558126,52.548643,1058.9790638572886,8782.851685270667,
9397557434,13.4660866,52.5506028,1760.2083260573563,8985.968180700205,
9399663276,13.465486,52.5471126,1711.232796660508,8598.643905249424,
9413144113,13.4577843,52.5495684,1194.8636486906908,8882.91810390167,
9413160557,13.4578513,52.5495951,1199.4697400531732,8885.790661377832,
9420324070,13.4562135,52.5492553,1087.617842994281,8850.371743594296,
9420348884,13.4560826,52.5492395,1078.7051179557457,8848.804319876246,
9420357285,13.4562036,52.5492676,1086.9758853141684,8851.754144926555,
9420371732,13.4562092,52.5492605,1087.3386739203706,8850.956339706667,
9420708664,13.4584145,52.5494778,1237.376119568944,8871.92824890744,
9420729820,13.4583578,52.5495833,1233.7825405345066,8883.744389204308,
9420737110,13.4554373,52.5490962,1034.6120784599334,8833.80246818997,
9420761440,13.4552957,52.5490745,1024.9597837228794,8831.594457222149,
9423506468,13.4548199,52.5489674,992.4449488057289,8820.373230836354,
9423507588,13.454938,52.5490036,1000.5384878937621,8824.228025753982,
9431583525,13.4626297,52.5499454,1524.2768195042154,8917.83843265567,
9431615644,13.4625859,52.5500391,1521.529245830956,8928.3232891839,
9431617648,13.4625366,52.5501069,1518.3474062969908,8935.935421030037,
9431683744,13.4606716,52.5503019,1392.3640033776173,8960.319835275412,
9431768938,13.4600182,52.5501676,1347.7451946542715,8946.327905799262,
9431788883,13.4600205,52.5498,1347.0285161457723,8905.439065270126,
