id,name,type,lat,lon
5913405343,Tischlerei Liebel,office,52.5365494,13.4545961
6141319186,Unknown,office,52.5300852,13.4619077
9937337158,Dr.med. Wolfgang Möller Facharzt für Neurologie und Psychiatrie,office,52.5302488,13.4615806
23028162,Unknown,office,52.537579324999996,13.4768861
26630203,Unknown,office,52.525677423255814,13.465903941860466
36810472,Kulturhaus "Peter Edel",office,52.55092506923077,13.461499988461538
45204042,Unknown,office,52.540261710526316,13.485811605263157
47132501,Unknown,office,52.52739347692307,13.464793315384615
92224747,Unknown,office,52.537759816666664,13.479288566666668
92226533,Hohenschönhauser Tor,office,52.53609632777778,13.474960322222223
109137996,Unknown,office,52.5415731882353,13.456967788235294
110641979,VC Olympia Berlin,office,52.54213501428571,13.473210128571429
180016890,Unknown,office,52.54687811428572,13.477795142857143
180016892,Unknown,office,52.5470685,13.47787154
209157310,Unknown,office,52.52789985,13.4812754875
259036346,Verwaltung Sportforum Hohenschönhausen,office,52.5383856375,13.4740348
289151324,Unknown,office,52.5510169,13.461771457142857
326550948,Unknown,office,52.54965165833334,13.458948425
326610945,Unknown,office,52.5529495,13.470231725
760135867,Unknown,office,52.53166061363636,13.47284235
1027468144,Unknown,office,52.551279325,13.461728449999999
