poi_id,lon,lat,x,y,edge_id
5913405343,13.4545961,52.5365494,947.6919350381941,7439.535585025325,
6141319186,13.4619077,52.5300852,1428.2449337919243,6709.976990110241,1201860729#2
9937337158,13.4615806,52.5302488,1406.4454735594918,6728.645878258161,1201860311#3
23028162,13.4768861,52.537579324999996,2461.8275560082984,7521.947933278047,
26630203,13.465903941860466,52.525677423255814,1688.8914659039583,6213.963722879998,305534036#0
36810472,13.461499988461538,52.55092506923077,1450.005974566564,9028.432617724873,
45204042,13.485811605263157,52.540261710526316,3073.4062621932244,7807.552693256177,
47132501,13.464793315384615,52.52739347692307,1617.6093513239175,6406.429401722737,-1152686772#0
92224747,13.479288566666668,52.537759816666664,2625.183392343344,7538.586655788124,
92226533,13.474960322222223,52.53609632777778,2327.737735314353,7359.763051039539,4687244#3
109137996,13.456967788235294,52.5415731882353,1120.4881816197885,7994.852538153529,
110641979,13.473210128571429,52.54213501428571,2223.2473313063383,8033.912575416267,
180016890,13.477795142857143,52.54687811428572,2545.2944357311353,8554.885777240619,
180016892,13.47787154,52.5470685,2550.921199224482,8575.95177675318,
209157310,13.4812754875,52.52789985,2736.856488039135,6439.095760006458,591622864#4
259036346,13.4740348,52.5383856375,2270.3517003776506,7615.71332892403,
289151324,13.461771457142857,52.5510169,1468.6288232523948,9038.253887728788,
326550948,13.458948425,52.54965165833334,1273.9894769321545,8890.491971765645,
326610945,13.470231725,52.5529495,2046.7766989392112,9241.008754997514,
760135867,13.47284235,52.53166061363636,2173.6546435430064,6869.448420691304,290088322#0
1027468144,13.461728449999999,52.551279325,1466.3352889969829,9067.503713103943,
