id,name,type,lat,lon
9073875617,Coffee House 168,cafe,52.5529588,13.4673241
9279640084,MMB,bar,52.5486430,13.4558126
9397557434,Bademeister,bar,52.5506028,13.4660866
9399663276,Mittagstisch im alten Waschhaus,restaurant,52.5471126,13.4654860
9413144113,M. Abu-Ghosh,doctors,52.5495684,13.4577843
9413160557,Julia Reichle,doctors,52.5495951,13.4578513
9420324070,Dr. med. Alfred Freund,doctors,52.5492553,13.4562135
9420348884,Dr. med. Torsten Born,doctors,52.5492395,13.4560826
9420357285,Dr. med. Corinna Ostapowicz,doctors,52.5492676,13.4562036
9420371732,Dr. M. Slomka,doctors,52.5492605,13.4562092
9420708664,Unknown,convenience,52.5494778,13.4584145
9420729820,Nghe-an Textilien Fashion,clothes,52.5495833,13.4583578
9420737110,M&N Textilien,clothes,52.5490962,13.4554373
9420761440,Unknown,butcher,52.5490745,13.4552957
9423506468,Ingrid Zirnstein,doctors,52.5489674,13.4548199
9423507588,Flink,convenience,52.5490036,13.4549380
9431583525,Linden Markt,bakery,52.5499454,13.4626297
9431615644,Seeweißchen,clothes,52.5500391,13.4625859
9431617648,Monika Trend & second hand,clothes,52.5501069,13.4625366
9431683744,Unknown,furniture,52.5503019,13.4606716
9431768938,Helin Spätkauf,convenience,52.5501676,13.4600182
9431788883,Mikematze,kindergarten,52.5498000,13.4600205
9431809851,Die Darterei,bar,52.5500165,13.4593433
9574750329,Daniel's Bistro,restaurant,52.5420685,13.4568975
9692661749,Dipl.-Med. Grit Shetty,doctors,52.5319970,13.4571603
9692661750,Dr. Ulrich Jacob,doctors,52.5318128,13.4573337
9888789494,Tucano Eis Cafe&Bar,cafe,52.5326157,13.4694019
9937337158,Dr.med. Wolfgang Möller Facharzt für Neurologie und Psychiatrie,doctors,52.5302488,13.4615806
10035606445,Dr. Mirko Weinrich,doctors,52.5500048,13.4579777
11380847469,Cafe SulReal,cafe,52.5505059,13.4602191
11554854404,Kindergarten Rappelkiste,kindergarten,52.5314570,13.4631164
11598530649,TUCANO,restaurant,52.5324512,13.4694831
11681018020,Multipolster,furniture,52.5357319,13.4745728
12400201480,Attenzione,bar,52.5302349,13.4610469
12860639460,Lilien Cafe,bakery,52.5496117,13.4577535
12887376565,MKG Chirurgie Landsberger,doctors,52.5289456,13.4561682
12887376566,Herz & Gefäße,doctors,52.5289474,13.4561164
13205263635,Cafe-Bar,bar,52.5284673,13.4696036
23028123,C,restaurant,52.5441849,13.46947575
25759960,Kita Kinderzeit,kindergarten,52.5473997,13.462806933333333
25768156,Primo-Levi-Gymnasium,school,52.55113737692307,13.454130323076923
25814888,Unknown,school,52.54448662222222,13.45418511111111
25815138,Netto Marken-Discount,supermarket,52.5479117875,13.4644887
25823723,Gutenberg-Oberschule,school,52.536607592307696,13.484239161538461
