poi_id,lon,lat,x,y,edge_id
4687131,13.477882615384614,52.52729546153846,2505.2870940641733,6376.722324796952,4687131#4
4687155,13.4616714,52.529388100000006,1410.5640485568438,6632.785394791514,171867099#1
4687156,13.4689713,52.5314346,1910.5556641794392,6849.87351823505,4687156
4687159,13.4603161125,52.52716395,1313.3557498312439,6387.370275625028,4687159#4
4687160,13.458883,52.52767683333334,1217.3587660086341,6446.489188977517,-4687160#1
4687161,13.463576166666668,52.52853166666667,1537.7394235617248,6534.778577511199,4687161#1
4687163,13.47258445,52.53060098333333,2153.6675792362075,6751.9636902064085,4687163#1
4687247,13.46419646,52.53121673333333,1586.1705108883325,6832.522976968437,-4687247#4
4687248,13.46393735,52.53212926,1570.755555900745,6934.39055457525,4687248#1
4687249,13.465201133333332,52.5328745,1658.2372149351868,7015.454427107237,4687249#1
4687250,13.467681166666667,52.533544677777776,1828.030879031343,7086.419042670168,-4687250#3
4687251,13.468852475,52.534576375,1909.9094862929778,7199.481045576744,168293909#4
4687297,13.459909575,52.5312022,1295.362409768859,6837.102757819928,-4687297#1
4687301,13.4598461625,52.5344469875,1298.7628590590903,7198.088007436134,-4687301#3
4687302,13.457091940000002,52.5356945,1114.9278787829098,7340.829583177343,4687303#4
4687303,13.457194269230769,52.53434826153846,1118.6670717102825,7190.949164874852,4687303#3
4687333,13.457007260000001,52.5391289,1117.3519606476184,7722.935161630623,
4687334,13.455449,52.539403633333336,1012.3303854694823,7755.752368571237,
4687335,13.4562709,52.53834435,1065.548038716719,7636.743480058387,
4687337,13.45781944,52.53777770000001,1169.2194994639722,7571.4738162579015,
4782548,13.478577325,52.5284229875,2555.056091535953,6501.135200098157,1229893453#2
4787339,13.45596721,52.54879863,1069.8322935818578,8799.936951573007,
4787341,13.460268377777778,52.549191288888885,1362.389894740365,8837.3778339196,
4787350,13.458703,52.54934588333333,1256.623141223914,8856.838236728683,
4787358,13.466055655555556,52.54851724444445,1753.1790272000944,8754.051236447878,
4787362,13.4655896,52.548904300000004,1722.4949876475148,8797.772542212158,
4787369,13.458835774999999,52.54693553333333,1259.899371654261,8588.560116284527,
4787379,13.464540425,52.548675725,1650.818456577137,8773.863018788397,
4787401,13.467569475,52.5521731,1864.454874440562,9158.485303627327,
6083156,13.45452706,52.54551796,964.3727678023861,8437.142403699458,
6083191,13.454295966666669,52.54485361666667,947.1203350294381,8363.588000455871,
6083447,13.462103899999999,52.54918982,1486.8365224021836,8834.56036788784,
6083536,13.4633244,52.54841018,1567.7408473627875,8746.083540460095,
8113458,13.464958008000002,52.529783992000006,1634.4360246643191,6672.070899697952,473934081#0
8113459,13.470790835714286,52.530930742857144,2032.7844173866324,6791.216653242707,8113459#5
8113460,13.47250808,52.53129312,2150.116689377115,6829.054605972022,8113460#2
8113937,13.460905616666667,52.52863678333333,1356.8378863152466,6550.3295200569555,8113937#2
8113939,13.4591893,52.52661882857143,1235.6242490974255,6328.37173501309,-8113939#2
