X,Y,landuse
9.00599426662881,48.7021398565231,commercial
9.02731560554,48.7049043617428,commercial
8.99782966357612,48.7940966656526,commercial
9.03249106009372,48.7897958464185,commercial
9.01798836436136,48.7847208352821,commercial
9.01788911483203,48.7830738435606,commercial
9.0212227411548,48.7833052917521,commercial
9.04834855764667,48.7674616540189,commercial
8.91638187889806,48.7868320957356,commercial
8.88026637538464,48.7568302899769,commercial
8.86096206782397,48.7592385185315,commercial
8.85436285821305,48.7623600637598,commercial
8.85399930902416,48.7718844707606,commercial
8.85726254263772,48.7715830874917,commercial
8.85590747408161,48.7629373937475,commercial
8.88435501504997,48.7256542125969,commercial
8.87881403167167,48.747613787236,commercial
8.97870026824057,48.7044257080144,commercial
9.01534171746404,48.7001479128876,commercial
8.98817761401364,48.7123273005955,commercial
9.01464641807462,48.7866745464974,commercial
8.91991268141827,48.781331721138,commercial
8.91062036607065,48.8274370166485,commercial
9.00346892145882,48.7963806040705,commercial
8.96494283018021,48.7285840332749,commercial
9.00728713865211,48.7041808486887,commercial
8.91402483970974,48.8370863120341,commercial
9.00142874681931,48.7037023813085,commercial
8.9272705861366,48.8110741963624,commercial
8.87515724023566,48.7244154103415,commercial
9.05006782578816,48.7652973352537,commercial
8.98066976438388,48.7899524718222,commercial
8.8529819737642,48.7714951935541,commercial
8.87132574208789,48.8304608691553,commercial
8.90047287577612,48.7148833767574,commercial
8.92035099513312,48.8447228185463,commercial
9.0192264176994,48.7078982644345,commercial
8.95516320856343,48.8107816674827,commercial
8.95391540081943,48.8068418336264,commercial
8.94268842022147,48.8067413828234,commercial
8.94883403966418,48.7763485916629,commercial
8.92836355668785,48.7715182082574,commercial
8.98880295956266,48.7068062345686,commercial
8.93047053069036,48.7630625362591,commercial
8.89861275679382,48.7800017203793,commercial
8.89984137174362,48.7800679435236,commercial
8.90029149448909,48.7799647677294,commercial
8.90179427930132,48.7812315443484,commercial
8.90160857067572,48.7806546248148,commercial
8.90188994187982,48.7820350735182,commercial
8.90209043900319,48.7829996179325,commercial
8.90058543039119,48.7827704889603,commercial
8.90033351122141,48.7822470214428,commercial
8.90001004987529,48.7816630867731,commercial
8.89972519620987,48.7812479245459,commercial
8.89939711092908,48.7817785940333,commercial
8.8989855430704,48.781163831788,commercial
8.8994078604409,48.7805316512324,commercial
8.89918068990299,48.7801986160877,commercial
8.89880040906815,48.780439889355,commercial
8.90120492256258,48.782340952921,commercial
8.99940969192326,48.7986560345878,commercial
9.01494316719445,48.7877070263263,commercial
9.0178830287546,48.7900263837838,commercial
