X,Y,landuse
8.96751324233477,48.6765732974453,commercial
9.169693664608,48.723600087878,commercial
9.17021250510072,48.7203939730907,commercial
9.0370532554263,48.6655040111582,commercial
9.06861801776938,48.669275155171,commercial
9.16279374401947,49.1418821917847,commercial
9.00599426662881,48.7021398565231,commercial
9.02731560554,48.7049043617428,commercial
9.68106197815632,48.6953137148781,commercial
9.68989550536376,48.6943262314921,commercial
8.98429953519421,48.6307327667237,commercial
8.99782966357612,48.7940966656526,commercial
9.16782270154134,48.7110502844957,commercial
9.50279633087558,49.0052496544525,commercial
9.15388883282484,48.8327237068929,commercial
9.72718755945704,49.5800910344879,commercial
9.11034341100456,48.7383036468034,commercial
9.33015407368376,48.8569700008291,commercial
9.03249106009372,48.7897958464185,commercial
9.01798836436136,48.7847208352821,commercial
9.01788911483203,48.7830738435606,commercial
9.0212227411548,48.7833052917521,commercial
9.16553130000942,48.6964879674743,commercial
9.15963206143095,48.6918420917953,commercial
9.08157889413849,48.7463996771046,commercial
9.23590806408816,48.6344490033066,commercial
9.20319174079437,48.6567902439021,commercial
9.19782567715374,49.1484193350419,commercial
9.04239084109055,48.6920449862024,commercial
9.30633669044611,49.1511363312511,commercial
9.30750272353447,49.1446981150198,commercial
8.84072851074929,48.5249439422031,commercial
9.79024513681616,48.646215456137,commercial
9.81323592966572,48.6296204183216,commercial
9.80968569997404,48.6124998383615,commercial
9.00287971124825,48.6844145279899,commercial
9.21865695899848,48.6971784047179,commercial
9.09792967755587,48.7382328601052,commercial
9.13345927926586,48.7275408611258,commercial
9.80603861673728,48.6315495088861,commercial
9.09552815073641,48.8204933408978,commercial
9.25529845539895,49.1612283053856,commercial
9.82617757201461,48.6252706320308,commercial
9.22763901239314,48.6732649090423,commercial
9.34799540042264,48.8807042793829,commercial
9.18407249360885,48.7675949197798,commercial
9.3043837042251,49.078066042407,commercial
10.2286727068102,48.668174708143,commercial
8.94346727876642,48.9389775484179,commercial
9.0906234889369,48.8215421027527,commercial
10.1652053421716,48.6900263119367,commercial
10.1689450469358,48.6976940840385,commercial
10.1667590297698,48.6957493694586,commercial
10.1568497571727,48.6712722127999,commercial
9.27088261676192,48.9665138918333,commercial
9.27413333237656,48.9663681034596,commercial
9.21202159580205,48.9608141614112,commercial
9.16643376956376,48.7376479196344,commercial
9.02116954105533,48.9340476389994,commercial
9.09866857767695,48.8239386070295,commercial
9.09321852150052,48.8241883179262,commercial
9.16209536965326,48.8141304981558,commercial
9.17716788393069,48.685580733906,commercial
8.99190429294855,48.9751878975609,commercial
8.98916930445471,48.9737190599423,commercial
8.95675751221166,48.9559560328891,commercial
8.95552616836766,48.9290958652249,commercial
9.32859888676459,48.7153667982797,commercial
8.76298246628601,48.5737558585868,commercial
8.76752386440953,48.5360065925312,commercial
9.4532284052967,48.6348200957356,commercial
9.82632572639296,49.4703002418113,commercial
10.2334354111353,48.871732628964,commercial
9.88977691925349,49.4569049396177,commercial
9.90098715129933,49.4891379786318,commercial
9.00499159925666,48.9558588652151,commercial
9.91037044088934,49.4796055029087,commercial
9.13025986064827,48.7728793677867,commercial
10.3592584636391,48.8572604206895,commercial
10.3416331065498,48.8638779211559,commercial
10.0955766663214,48.8484031306213,commercial
9.06514027246748,49.2121276508834,commercial
9.04987473063761,49.2551002510063,commercial
9.00584719252303,49.2288935595906,commercial
9.04834855764667,48.7674616540189,commercial
9.0053918633786,48.8925297544219,commercial
9.9010572082652,49.4947716765086,commercial
8.93199845082542,48.8985134409995,commercial
9.74739487086506,49.1128336176162,commercial
10.1567247854819,48.7156286028734,commercial
8.91638187889806,48.7868320957356,commercial
8.88026637538464,48.7568302899769,commercial
9.23006402383256,49.1763967431311,commercial
9.22337241714377,49.180935287446,commercial
9.3533332675628,48.6442699153591,commercial
9.32979567311229,48.6228073894471,commercial
9.5297861115622,48.6377846381318,commercial
9.51816888769813,48.6464018502952,commercial
8.93646436523333,48.916879880907,commercial
8.95218219366006,48.9147457608165,commercial
9.19319968080982,49.1316764368841,commercial
9.21428411056535,49.1342304610166,commercial
9.06835348518827,49.0737351454691,commercial
9.0643992760207,49.0751282700135,commercial
8.96632395843111,48.8705239714264,commercial
9.46761863060381,48.9918993693141,commercial
9.25084055758115,48.9826093558978,commercial
9.0421929671922,48.8628150412523,commercial
9.04346179555515,48.8659767703644,commercial
8.94058304078206,48.8983437765522,commercial
8.98683831177114,48.9195927415742,commercial
9.31983104119851,48.8620759779831,commercial
9.9354500326644,49.4017760798913,commercial
9.09146938570013,49.2358548875204,commercial
8.96799858872793,48.8931559041148,commercial
9.88383712469439,49.0566109818287,commercial
9.63375647207042,48.7088524535442,commercial
9.63447710665113,48.7085587612439,commercial
9.6351603955887,48.7082828944378,commercial
9.72102788270207,48.9863200204086,commercial
9.6904357542988,48.9883000831434,commercial
9.71707454799395,48.9814879334359,commercial
9.70210757780752,48.9868749234847,commercial
9.73208677736398,48.9369163554925,commercial
9.4157990997465,48.8105883560946,commercial
9.601345663263,48.706086060279,commercial
8.8358535318728,49.1809842220529,commercial
9.97415704351699,48.8932702330743,commercial
8.83304022592529,49.1790811048985,commercial
9.20216350484026,49.1546975007038,commercial
8.86096206782397,48.7592385185315,commercial
8.85436285821305,48.7623600637598,commercial
8.85399930902416,48.7718844707606,commercial
8.85726254263772,48.7715830874917,commercial
8.85590747408161,48.7629373937475,commercial
8.88435501504997,48.7256542125969,commercial
9.2044423261649,49.1239196172569,commercial
10.1209462189368,48.9719033023881,commercial
10.1255788350616,48.9692748117893,commercial
10.1225932753974,48.9581927106431,commercial
10.1292379059256,48.9621495072147,commercial
10.1313339588054,48.9646785257977,commercial
8.87881403167167,48.747613787236,commercial
9.42674951935335,48.9377447536885,commercial
9.17076141768177,48.8165646374397,commercial
9.2883350468432,49.0762824980594,commercial
9.16744373703472,48.7209771968969,commercial
8.94742929626983,48.6530753952118,commercial
9.35921557676354,48.6219304258939,commercial
9.18154020632179,49.1453204787876,commercial
9.28710613998462,48.9469290478666,commercial
9.91604665441718,49.4064433950766,commercial
8.89922580213695,49.1327214656677,commercial
8.89488406433737,49.1035539503882,commercial
8.89290506505725,49.1317499415243,commercial
10.1267227003619,48.5887822173275,commercial
9.19615820259319,48.7175248727662,commercial
9.48930179263022,49.2042804092778,commercial
8.91863884852654,49.1382282678624,commercial
8.89065543032672,49.1625343073168,commercial
9.45171052676006,48.651952407093,commercial
9.43526983544144,48.644152734083,commercial
9.43926746406347,48.6445604730936,commercial
10.1609672322617,48.6294252368145,commercial
10.2373596754033,48.7049037481974,commercial
9.47652850397827,48.6905271763723,commercial
9.34283253360367,48.7178771818985,commercial
9.34994108575624,48.7168470844518,commercial
9.91325503977374,49.039481208023,commercial
9.91256019513571,49.0023193381951,commercial
9.915611898389,49.0019297116598,commercial
8.86647153938315,49.1339174359648,commercial
9.38765582299477,48.8824148920107,commercial
9.79078700948071,48.8540300841511,commercial
9.2033879923522,48.8202993774603,commercial
9.21414366635357,48.8177424510118,commercial
9.21153824875945,48.8140052750932,commercial
9.19719472466431,48.8086634388276,commercial
9.68002838570661,48.6649607429688,commercial
9.96300320299677,49.346642026111,commercial
9.36585340594935,48.6753235453172,commercial
9.2318985799975,49.2031565609051,commercial
8.97407538220731,48.6742324672795,commercial
9.16942212346026,49.1220547402735,commercial
9.22791657893124,49.1831609393656,commercial
9.23590861583559,49.1817579355096,commercial
9.00605340209224,48.6390181896692,commercial
9.67440157433969,48.700464334584,commercial
9.69093541615419,48.7122242597601,commercial
8.97870026824057,48.7044257080144,commercial
9.01534171746404,48.7001479128876,commercial
8.98817761401364,48.7123273005955,commercial
9.4484986267487,48.8476882155192,commercial
9.0000242132302,49.2085349367291,commercial
9.34025701137466,49.2385637687032,commercial
9.35648556036725,49.2386785159559,commercial
8.88092208900713,48.5527920245908,commercial
8.85425303590226,48.5390549718475,commercial
9.21235277310091,49.2304876284583,commercial
9.25577288439226,48.6268450025365,commercial
9.19983413580875,48.7096970608844,commercial
9.18670079281548,48.6939439257681,commercial
9.01464641807462,48.7866745464974,commercial
9.10639844744144,49.0426862345061,commercial
9.18074819680075,49.2366505478026,commercial
9.18762366614032,49.2367098516589,commercial
8.9743108194076,49.1032555532142,commercial
9.06672411319695,48.8191189367836,commercial
9.09294253932565,49.0223389479876,commercial
9.03549318202453,48.883830389221,commercial
9.71294082426497,49.1744407160942,commercial
9.08464103016818,48.9585691665338,commercial
10.0782017419452,48.8277639109007,commercial
9.53864377912341,48.8167806953239,commercial
9.16727641883067,49.2397901181264,commercial
9.18944581548398,48.8801791705151,commercial
9.17844273281793,48.8765183875772,commercial
10.0452638963667,48.8203095375787,commercial
9.68199007907046,49.2558194746237,commercial
8.91991268141827,48.781331721138,commercial
9.52042033092805,48.8040211264805,commercial
9.51795343636473,48.8026606809575,commercial
9.22921116596863,48.5879787020485,commercial
9.71755421562252,48.6971187046216,commercial
9.66905732148748,48.6911516160569,commercial
9.67099253981988,48.6913894042677,commercial
9.7219008009683,48.6934268592238,commercial
9.33342904868652,49.7730375433157,commercial
8.99428121494461,48.6862969132019,commercial
9.73562162826671,49.285333966776,commercial
9.71103871769327,49.2858649198398,commercial
9.255884959888,48.5764016115859,commercial
9.50930869265291,49.6648523105806,commercial
9.1779142917144,48.8605121791727,commercial
9.73636460672412,49.1257589401038,commercial
9.20551241130211,49.1998617814768,commercial
9.54635784465881,48.8338393588974,commercial
9.20449595684391,49.1956947413658,commercial
9.20590258205255,49.192186852626,commercial
8.91203478294325,48.6384225923303,commercial
9.71747874201234,48.6922044914208,commercial
8.91062036607065,48.8274370166485,commercial
9.76426158470307,49.4962505215347,commercial
9.21985364969282,48.6849769051162,commercial
9.18639614566596,48.8515084652073,commercial
8.99561339388599,48.8849808285701,commercial
10.0307414083969,49.2406481611511,commercial
9.41814734025082,48.9248125877183,commercial
9.67711046122257,48.7972833423927,commercial
