poi_id,x,y
100575042,1117.130262,689.636204
100575042,1122.740793,667.512341
100575042,1117.000346,666.048504
100575042,1116.385158,668.298814
100575042,1116.829559,668.444736
100575042,1115.452306,673.972358
100575042,1115.879199,674.552647
100575042,1115.17839,675.391647
100575042,1113.879602,674.975371
100575042,1114.017488,674.46044
100575042,1110.228556,673.465164
100575042,1110.089319,674.224934
100575042,1108.355382,673.773809
100575042,1108.162827,672.743213
100575042,1109.057906,672.400642
100575042,1110.328588,666.964406
100575042,1111.045575,667.159915
100575042,1111.676173,664.68671
100575042,1105.751322,663.171342
100575042,1103.630759,671.597525
100575042,1100.214494,685.24908
100575042,1108.481203,687.39124
100575042,1117.130262,689.636204
104786907,856.972308,77.833263
104786907,855.697129,90.691803
104786907,816.007191,83.329311
104786907,819.105836,51.14597
104786907,832.733896,52.267062
104786907,833.929904,38.597959
104786907,847.237631,39.659455
104786907,846.100341,52.003058
104786907,838.282541,51.175502
104786907,836.997831,64.824322
104786907,844.893314,65.483232
104786907,844.43218,70.690101
104786907,843.967519,76.653728
104786907,856.972308,77.833263
105347632,291.543246,301.013421
105347632,291.966745,300.52546
105347632,287.277663,295.723009
105347632,285.470888,297.488207
105347632,285.942916,297.956141
105347632,283.610948,299.911129
105347632,285.731463,301.855563
105347632,282.750912,308.498686
105347632,281.314026,307.985565
105347632,280.174605,309.847117
105347632,275.213446,305.92985
105347632,278.675561,298.663928
105347632,281.515247,292.702741
105347632,284.180221,287.123806
105347632,288.51092,278.024653
105347632,314.196409,302.954985
105347632,303.702418,313.872203
105347632,302.282915,315.350544
105347632,295.901698,321.991807
105347632,295.742358,322.151157
105347632,291.181924,318.547617
105347632,292.624083,316.868468
105347632,292.208074,316.477174
105347632,299.753164,308.763878
105347632,295.132437,303.982147
105347632,294.657468,304.293216
105347632,291.543246,301.013421
105354131,200.909943,374.825841
105354131,202.607108,375.444391
105354131,204.578648,370.125736
105354131,215.514054,374.398852
105354131,213.57095,379.472056
105354131,210.479692,387.530925
105354131,208.363383,393.053117
105354131,207.494078,392.727613
105354131,197.580996,388.943509
105354131,200.67329,380.62867
105354131,201.172584,379.282171
105354131,199.463595,378.741781
105354131,200.909943,374.825841
105354133,197.580996,388.943509
105354133,207.494078,392.727613
