time,vehicle_id,soc_percent,is_charging,station_id
25900.0,person29,64.5121625,False,
25900.0,person34,57.6374625,True,CS_541295978#1_1
25900.0,person35,38.17925,False,
25900.0,person28,45.272225,True,CS_437325054#0_0
25900.0,person2,41.56935000000001,False,
25900.0,person49,44.3476375,False,
25960.0,person35,33.1846875,True,CS_1100889498_0
25970.0,person35,33.1828625,False,CS_1100889498_0
26000.0,person50,51.1097625,False,
26000.0,person9,57.761275,False,
26000.0,person6,60.7909,False,
26000.0,person41,44.062325,False,
26000.0,person29,62.4410125,False,
26000.0,person34,62.8275125,True,CS_541295978#1_1
26000.0,person35,33.177375,False,CS_1100889498_0
26000.0,person28,50.4622875,True,CS_437325054#0_0
26000.0,person2,41.56935000000001,False,
26000.0,person49,44.3476375,False,
26100.0,person50,51.1097625,False,
26100.0,person9,57.761275,False,
26100.0,person6,58.6931125,False,
26100.0,person41,44.062325,False,
26100.0,person29,60.467275,False,
26100.0,person34,68.017575,True,CS_541295978#1_1
26100.0,person35,33.1591,False,CS_1100889498_0
26100.0,person28,55.65235,True,CS_437325054#0_0
26100.0,person2,41.56935000000001,False,
26100.0,person49,44.3476375,False,
26160.0,person35,33.200225,True,CS_1100889498_0
26200.0,person50,51.1097625,False,
26200.0,person9,57.761275,False,
26200.0,person6,54.997575,False,
26200.0,person41,44.062325,False,
26200.0,person29,60.467275,False,
26200.0,person34,73.2076375,True,CS_541295978#1_1
26200.0,person35,35.2762375,True,CS_1100889498_0
26200.0,person28,60.8424125,True,CS_437325054#0_0
26200.0,person2,41.56935000000001,False,
26200.0,person49,44.3476375,False,
26300.0,person50,51.1097625,False,
26300.0,person9,57.761275,False,
26300.0,person6,55.470925,False,
26300.0,person41,44.062325,False,
26300.0,person29,60.467275,False,
26300.0,person34,78.3976875,True,CS_541295978#1_1
26300.0,person35,40.4663,True,CS_1100889498_0
26300.0,person28,66.0324625,True,CS_437325054#0_0
26300.0,person2,41.56935000000001,False,
26300.0,person49,44.3476375,False,
26400.0,person50,51.1097625,False,
26400.0,person9,57.761275,False,
26400.0,person6,55.470925,False,
26400.0,person41,44.062325,False,
26400.0,person29,60.467275,False,
26400.0,person34,83.58775,True,CS_541295978#1_1
26400.0,person35,45.65636249999999,True,CS_1100889498_0
26400.0,person28,71.222525,True,CS_437325054#0_0
26400.0,person2,41.56935000000001,False,
26400.0,person49,44.3476375,False,
26500.0,person50,51.1097625,False,
26500.0,person9,57.761275,False,
26500.0,person6,55.470925,False,
26500.0,person41,44.062325,False,
26500.0,person29,60.467275,False,
26500.0,person34,88.7778125,True,CS_541295978#1_1
26500.0,person35,50.846425,True,CS_1100889498_0
26500.0,person8,49.5049875,False,
26500.0,person28,76.4125875,True,CS_437325054#0_0
26500.0,person2,41.56935000000001,False,
26500.0,person49,44.3476375,False,
26570.0,person34,90.2170375,False,
26600.0,person50,51.1097625,False,
26600.0,person9,57.761275,False,
26600.0,person6,55.470925,False,
26600.0,person41,44.062325,False,
26600.0,person29,60.467275,False,
26600.0,person34,83.1920875,False,
26600.0,person35,56.036475,True,CS_1100889498_0
26600.0,person8,49.5049875,False,
26600.0,person28,81.6026375,True,CS_437325054#0_0
26600.0,person2,41.56935000000001,False,
26600.0,person49,44.3476375,False,
26660.0,person35,58.34135,False,
26700.0,person50,51.1097625,False,
26700.0,person9,57.761275,False,
26700.0,person6,55.470925,False,
26700.0,person41,44.062325,False,
26700.0,person29,60.467275,False,
26700.0,person34,73.1746,False,
26700.0,person35,52.80635,False,
26700.0,person8,49.5049875,False,
26700.0,person28,86.7927,True,CS_437325054#0_0
